Displacement (mm),Force (KN)
0.0,0.03047499999999999
0.05,0.04192499999999998
0.1,0.05276249999999998
0.15000000000000002,0.06687272727272728
0.2,0.08234285714285712
0.25,0.10082222222222217
0.30000000000000004,0.12430000000000005
0.35000000000000003,0.1513749999999999
0.4,0.1812
0.45,0.21201428571428574
0.5,0.2441
0.55,0.27753333333333335
0.6000000000000001,0.3113375000000001
0.65,0.345788888888889
0.7000000000000001,0.3802
0.75,0.4151888888888889
0.8,0.4500285714285714
0.8500000000000001,0.4849090909090909
0.9,0.5197857142857143
0.9500000000000001,0.5546888888888888
1.0,0.5894999999999999
1.05,0.6237000000000001
1.1,0.6576666666666667
1.1500000000000001,0.6915857142857144
1.2000000000000002,0.7247200000000001
1.25,0.7576714285714287
1.3,0.7893125
1.35,0.81886
1.4000000000000001,0.8495857142857145
1.4500000000000002,0.8791333333333334
1.5,0.9085285714285715
1.55,0.93702
1.6,0.9648500000000001
1.6500000000000001,0.9838875
1.7000000000000002,1.0103818181818183
1.75,1.0359857142857143
1.8,1.0559
1.85,1.0794428571428571
1.9000000000000001,1.102975
1.9500000000000002,1.1131285714285717
2.0,1.1371142857142857
2.0500000000000003,1.1601600000000003
2.1,1.1804
2.15,1.1995666666666667
2.2,1.2182857142857144
2.25,1.2383
2.3000000000000003,1.2578111111111112
2.35,1.2766499999999998
2.4000000000000004,1.2944818181818187
2.45,1.3098714285714286
2.5,1.3259800000000002
2.5500000000000003,1.3237
2.6,1.3061250000000002
2.6500000000000004,1.31095
2.7,1.1941857142857142
2.75,1.1676000000000002
2.8000000000000003,1.1942666666666668
2.85,1.1969666666666667
2.9000000000000004,1.2176222222222224
2.95,1.2386249999999999
3.0,1.2586222222222223
3.0500000000000003,1.2774142857142858
3.1,1.2951181818181818
3.1500000000000004,1.3120142857142858
3.2,1.32624
3.25,1.3411499999999998
3.3000000000000003,1.355475
3.35,1.3697666666666666
3.4000000000000004,1.3500999999999999
3.45,1.1732500000000001
3.5,1.179742857142857
3.5500000000000003,1.1947875000000003
3.6,1.2125
3.6500000000000004,1.2212500000000002
3.7,1.2262222222222223
3.75,1.1729714285714283
3.8000000000000003,1.1522800000000002
3.85,1.1266285714285715
3.9000000000000004,1.1239875000000001
3.95,1.1369181818181817
4.0,1.0058
