Displacement (mm),Force (KN)
0.0,-0.0002
0.05,0.012662499999999998
0.1,0.025254545454545453
0.15000000000000002,0.0416
0.2,0.06057777777777777
0.25,0.0813222222222222
0.30000000000000004,0.103425
0.35000000000000003,0.1268
0.4,0.15255000000000002
0.45,0.1812
0.5,0.2120142857142857
0.55,0.24451250000000002
0.6000000000000001,0.27888888888888896
0.65,0.314975
0.7000000000000001,0.3526
0.75,0.3913285714285714
0.8,0.4311
0.8500000000000001,0.47171250000000003
0.9,0.5119750000000001
0.9500000000000001,0.5528000000000001
1.0,0.5933857142857142
1.05,0.634
1.1,0.6746285714285715
1.1500000000000001,0.7143222222222223
1.2000000000000002,0.7528142857142858
1.25,0.7913375
1.3,0.82844
1.35,0.8601857142857143
1.4000000000000001,0.891788888888889
1.4500000000000002,0.9210857142857143
1.5,0.9472888888888888
1.55,0.9493875
1.6,0.88765
1.6500000000000001,0.8702909090909093
1.7000000000000002,0.8962428571428572
1.75,0.9196000000000002
1.8,0.9380999999999999
1.85,0.959725
1.9000000000000001,0.9464000000000001
1.9500000000000002,0.7505428571428571
2.0,0.766
