Displacement (mm),Force (KN)
0.0,0.0222
0.05,0.04306
0.1,0.06483333333333334
0.15000000000000002,0.0878857142857143
0.2,0.11263333333333334
0.25,0.13715714285714287
0.30000000000000004,0.16240000000000004
0.35000000000000003,0.1877666666666667
0.4,0.2136777777777778
0.45,0.24106666666666665
0.5,0.2677285714285714
0.55,0.29481111111111113
0.6000000000000001,0.322075
0.65,0.35005
0.7000000000000001,0.3778714285714286
0.75,0.4067666666666666
0.8,0.43909090909090914
0.8500000000000001,0.4749428571428572
0.9,0.5122
0.9500000000000001,0.5502833333333333
1.0,0.5884444444444444
1.05,0.6269000000000001
1.1,0.6651500000000001
1.1500000000000001,0.7032600000000002
1.2000000000000002,0.7411500000000001
1.25,0.7784600000000002
1.3,0.8160875000000001
1.35,0.8520444444444447
1.4000000000000001,0.8863875000000001
1.4500000000000002,0.9231875000000002
1.5,0.9545166666666667
1.55,0.9845
1.6,1.0129000000000001
1.6500000000000001,0.9806750000000001
1.7000000000000002,0.9601666666666667
1.75,0.9894142857142857
1.8,1.0101875
1.85,0.7831200000000001
1.9000000000000001,0.8079285714285714
1.9500000000000002,0.6321
2.0,0.6034
