Displacement (mm),Force (KN)
0.0,0.0339
0.05,0.0454
0.1,0.058666666666666645
0.15000000000000002,0.07351428571428571
0.2,0.08855555555555555
0.25,0.10484999999999997
0.30000000000000004,0.12201428571428573
0.35000000000000003,0.14365
0.4,0.17217142857142856
0.45,0.20449999999999996
0.5,0.23877142857142858
0.55,0.2738714285714286
0.6000000000000001,0.3100800000000001
0.65,0.34703333333333336
0.7000000000000001,0.3847888888888889
0.75,0.42279999999999995
0.8,0.46115000000000006
0.8500000000000001,0.5001500000000001
0.9,0.5394428571428571
0.9500000000000001,0.5790545454545455
1.0,0.6187571428571428
1.05,0.6586000000000001
1.1,0.6983250000000002
1.1500000000000001,0.7377500000000001
1.2000000000000002,0.77725
1.25,0.8157142857142858
1.3,0.8525999999999999
1.35,0.8884285714285715
1.4000000000000001,0.9248500000000002
1.4500000000000002,0.927277777777778
1.5,0.9596750000000001
1.55,0.8527222222222223
1.6,0.8496428571428571
1.6500000000000001,0.8472400000000002
1.7000000000000002,0.7973142857142859
1.75,0.8259444444444446
1.8,0.4907
1.85,0.49167500000000003
1.9000000000000001,0.4971
1.9500000000000002,0.36369999999999914
2.0,0.3682
