Displacement (mm),Force (KN)
0.0,0.04864000000000001
0.05,0.06803333333333335
0.1,0.08901250000000002
0.15000000000000002,0.11103333333333336
0.2,0.13380000000000003
0.25,0.15760000000000002
0.30000000000000004,0.1822857142857143
0.35000000000000003,0.20751818181818185
0.4,0.2328857142857143
0.45,0.25846666666666673
0.5,0.2844111111111111
0.55,0.31050000000000005
0.6000000000000001,0.3383250000000001
0.65,0.3667333333333334
0.7000000000000001,0.39570000000000005
0.75,0.42523333333333335
0.8,0.45555
0.8500000000000001,0.4863
0.9,0.5166142857142856
0.9500000000000001,0.5468999999999999
1.0,0.5766857142857141
1.05,0.60625
1.1,0.6356125
1.1500000000000001,0.6647
1.2000000000000002,0.69405
1.25,0.7224714285714285
1.3,0.75098
1.35,0.7789571428571429
1.4000000000000001,0.8066
1.4500000000000002,0.8336857142857143
1.5,0.85905
1.55,0.88244
1.6,0.9067285714285714
1.6500000000000001,0.9312666666666667
1.7000000000000002,0.9549857142857143
1.75,0.9787777777777777
1.8,0.9994285714285714
1.85,1.0217125
1.9000000000000001,1.043890909090909
1.9500000000000002,1.0652428571428572
2.0,1.0860666666666667
2.0500000000000003,1.1058285714285714
2.1,1.1245
2.15,1.143525
2.2,1.1473
2.25,1.16234
2.3000000000000003,1.1718
2.35,1.1701333333333332
2.4000000000000004,1.1848333333333336
2.45,1.1950000000000003
2.5,1.2097333333333333
2.5500000000000003,1.224275
2.6,1.2390818181818182
2.6500000000000004,1.2537
2.7,1.26662
2.75,1.2804111111111112
2.8000000000000003,1.2937500000000002
2.85,1.307
2.9000000000000004,1.3177
2.95,1.31115
3.0,1.3147714285714285
3.0500000000000003,1.3003499999999997
3.1,1.26896
3.1500000000000004,1.2267
3.2,1.2235666666666667
3.25,1.2119285714285715
3.3000000000000003,1.21835
3.35,1.229375
3.4000000000000004,1.2399333333333336
3.45,1.2312899999999998
3.5,1.1631285714285713
3.5500000000000003,1.16233
3.6,1.1423857142857143
3.6500000000000004,1.1400333333333335
3.7,1.1445
